location,area_sqft,bhk,bath,price
Godhra,2417,1,1,9143101
Bharuch,1862,4,2,9656487
Rajkot,1681,5,3,10384627
Ahmedabad,1164,5,2,9856857
Godhra,2853,1,1,11774665
Vadodara,2781,2,3,19345897
Surat,1411,3,1,9245249
Nadiad,4417,1,3,20373303
Palanpur,1455,5,2,7571260
Rajkot,3367,2,3,21010357
Navsari,3175,2,4,18771134
Anand,731,1,2,3365467
Gandhinagar,2272,5,2,16813464
Sidhpur,3381,2,1,13363909
Amreli,3008,1,3,10710442
Bhuj,3070,3,1,15136738
Rajkot,1999,2,4,10760995
Gandhinagar,2310,1,4,17844139
Bhavnagar,2763,5,2,14401728
Surendranagar,1885,1,2,7847057
Patan,2874,5,4,15731389
Palanpur,3161,3,1,13615361
Dwarka,4384,5,3,24665351
Gandhinagar,2330,4,2,20290605
Jetpur,3995,2,2,18175194
Mehsana,1287,5,2,7168774
Nadiad,3928,2,1,19021767
Gandhidham,2351,3,4,14798796
Godhra,992,4,1,5049168
Mehsana,421,1,4,2382228
Surendranagar,2039,1,2,8979356
Amreli,975,2,1,3853947
Veraval,543,5,1,2625176
Veraval,787,1,4,3477444
Veraval,1518,5,1,8167768
Jamnagar,3249,3,1,16411494
Mehsana,3024,2,4,18334961
Godhra,1886,3,3,7623471
Jetpur,1924,3,3,9285775
Gondal,3702,3,4,17831942
Nadiad,3465,2,1,16280156
Veraval,1706,3,1,9749571
Mehsana,3702,3,1,20402344
Surendranagar,3565,2,3,17720900
Gondal,3962,1,2,16453548
Rajkot,3197,5,3,22549998
Vadodara,3448,4,4,27756995
Navsari,2388,2,3,11380837
Amreli,2727,2,1,11154841
Gandhinagar,2932,2,3,24644255
Bharuch,2742,4,2,12543867
Palanpur,1074,5,1,5089142
Sidhpur,1200,2,2,4831641
Jetpur,3362,4,2,18045028
Bhavnagar,2037,1,1,8495355
Ahmedabad,1948,5,4,15469611
Ahmedabad,368,2,3,2480873
Gandhidham,4251,3,1,20482594
Jetpur,797,4,3,3788984
Gandhinagar,765,2,2,5877733
Valsad,1718,5,3,11068781
Junagadh,534,3,2,2644416
Ahmedabad,3578,5,4,32508329
Dwarka,841,3,4,5041767
Gandhidham,3629,4,2,21197768
Valsad,1403,1,4,7934812
Godhra,3532,1,1,13763097
Rajkot,2429,4,2,14917582
Surendranagar,2238,5,2,13768359
Morbi,2610,4,3,13736830
Vadodara,2660,2,1,17486874
Vapi,689,4,2,4433726
Vadodara,4346,1,2,27808126
Veraval,1282,2,4,6913280
Porbandar,3844,1,3,15384033
Vapi,3745,2,3,22149151
Mahuva,2225,2,3,9929160
Mahuva,3329,2,4,16024277
Navsari,1196,5,1,7142728
Jamnagar,524,5,1,3116879
Nadiad,708,3,1,3818240
Palanpur,3293,4,3,15779515
Jamnagar,3404,4,4,17029777
Veraval,2795,3,1,15161138
Mahuva,1452,2,4,5862010
Junagadh,3087,3,3,15694725
Veraval,525,5,2,2971154
Nadiad,3591,2,2,16363281
Godhra,4418,1,4,15659735
Surat,1714,1,3,10007381
Dwarka,4061,5,1,25628597
Navsari,2604,2,4,14970724
Jetpur,843,1,1,3909682
Porbandar,2477,3,4,13480499
Mehsana,3878,4,4,23077056
Gandhidham,3897,5,3,25675597
Gondal,4288,5,3,27082687
Vadodara,3843,1,4,24494984
Navsari,2567,4,2,14586100
Sidhpur,1034,1,4,4639840
Bhuj,3169,5,4,20899420
Palanpur,1668,2,4,6605498
Junagadh,3186,4,4,16474104
Dahod,3650,4,1,17305936
Porbandar,1668,3,2,8532130
Vapi,4436,2,1,24056704
Rajkot,2086,1,4,12208532
Veraval,2343,5,3,13815243
Jamnagar,564,3,3,3313488
Porbandar,1332,1,1,4848875
Vadodara,2971,4,1,17412791
Dahod,2488,2,4,11001026
Mahuva,3467,3,4,16190802
Bhavnagar,1549,2,2,7769374
Anand,3499,3,3,17735652
Vadodara,2730,4,4,21734127
Anand,785,3,4,3943843
Valsad,4049,3,3,26767458
Veraval,1802,1,3,8454171
Palanpur,4264,4,2,21390921
Bhavnagar,1810,2,4,9233483
Gandhinagar,2365,1,1,13846526
Vadodara,981,4,1,6814055
Patan,2771,3,4,12829962
Bhavnagar,701,1,2,3521508
Rajkot,2270,4,3,16473351
Jetpur,404,5,4,2151432
Bharuch,1896,1,4,8383570
Nadiad,2556,2,4,14961128
Godhra,3827,1,1,12362332
Valsad,2500,1,1,13152114
Valsad,1265,1,1,6225259
Porbandar,807,3,3,3963200
Palanpur,1290,3,1,6053933
Vapi,3785,2,2,23070653
Vadodara,2412,2,4,14270231
Porbandar,497,3,1,2594388
Mehsana,2760,3,2,17504287
Vapi,2132,5,3,13733391
Gandhinagar,1273,3,3,10936850
Morbi,533,5,1,2697116
Anand,3123,4,3,18681288
Dahod,1326,4,3,5000211
Gandhinagar,2831,3,1,18673309
Botad,1438,2,2,7456200
Junagadh,3808,5,4,21679737
Gandhidham,3830,4,4,23529079
Junagadh,1954,1,2,7873477
Surat,3696,3,2,25173590
Ahmedabad,3372,2,4,26543625
Gandhidham,3310,4,2,16279959
Gondal,3814,2,3,16989979
Palanpur,4396,4,4,24181150
Palanpur,2996,2,1,12901966
Sidhpur,1472,5,1,7172783
Botad,2731,2,1,13427508
Rajkot,3785,2,2,22211312
Porbandar,2556,2,3,12690694
Jamnagar,1967,4,4,10960988
Jamnagar,1860,3,1,8008888
Bhavnagar,485,1,2,1873535
Anand,3564,3,2,20302599
Rajkot,4334,5,1,27144320
Junagadh,3769,1,1,13677265
Jetpur,465,2,4,2286065
Dahod,1972,4,1,9106065
Anand,469,1,2,1923143
Jetpur,1533,3,2,8409605
Patan,3869,3,1,18551971
Gandhinagar,605,2,4,5015917
Ahmedabad,4478,2,3,32826027
Junagadh,3452,1,2,13087818
Vadodara,801,3,1,4362725
Navsari,1382,2,1,7221685
Anand,1943,4,2,12415108
Surat,4476,4,1,30886573
Dwarka,2734,4,3,16427628
Nadiad,4461,2,2,20219752
Jamnagar,410,2,2,2279301
Vapi,1755,3,2,11415771
Mehsana,4183,5,3,26614120
Junagadh,473,5,4,2326271
Vapi,3506,1,1,20204612
Palanpur,921,2,2,3757292
Nadiad,1432,3,3,8908340
Morbi,1388,3,1,7271418
Mehsana,1558,5,4,9659128
Vapi,3393,2,4,23909966
Vapi,4031,3,4,27068490
Anand,2192,5,4,13995277
Surat,3011,1,4,20124859
Vapi,2397,5,4,17024774
Vadodara,1247,4,2,7529535
Vadodara,3250,5,3,26245725
Vapi,4158,1,3,23469097
Godhra,2785,1,3,12444268
Bhavnagar,726,5,4,3777491
Ahmedabad,479,2,3,3416702
Dwarka,3931,5,3,25805311
Palanpur,4097,5,4,22834617
Dahod,918,3,1,4000671
Surendranagar,1953,1,4,9285129
Bharuch,3764,5,2,23346658
Amreli,1699,1,1,5751627
Amreli,3226,2,1,14005768
Mahuva,864,4,3,4274944
Godhra,1942,3,2,8866427
Dwarka,2504,5,1,13812150
Amreli,765,5,2,3951077
Nadiad,4052,5,1,20244302
Dwarka,4280,3,2,25734896
Palanpur,2245,1,2,9363484
Mehsana,3241,4,2,16975399
Veraval,3782,5,2,22778887
Dahod,2317,1,2,7384943
Ahmedabad,1963,3,3,15502941
Nadiad,803,1,4,4230049
Rajkot,3278,3,3,21370821
Ahmedabad,3757,3,3,28788594
Dahod,3346,1,4,12990588
Jetpur,2255,1,2,8834523
Dwarka,3075,3,1,16461481
Anand,3391,5,1,19533842
Nadiad,3451,4,1,18676279
Surat,3869,1,4,22223063
Mehsana,3706,1,4,21396231
Amreli,3013,4,2,14504861
Gandhinagar,1224,4,2,9292759
Vadodara,4147,5,4,34564979
Navsari,671,5,2,3612056
Palanpur,1052,2,1,4479526
Surendranagar,1274,2,2,6575036
Gondal,3708,4,2,18226522
Surat,3990,5,3,28808116
Gandhinagar,1393,2,4,9679140
Vapi,740,5,1,5285541
Botad,1737,5,4,10442887
Surendranagar,2274,5,2,10459558
Rajkot,3105,5,2,22728870
Vadodara,2731,1,1,14051143
Dwarka,1755,3,2,9685569
Vadodara,950,1,4,5396177
Vadodara,2110,3,1,14703113
Navsari,2001,1,4,11125053
Veraval,484,3,2,2863276
Surat,1698,5,4,13735121
Mehsana,3414,5,3,20453514
Nadiad,3294,2,3,14715833
Porbandar,4027,4,3,18753635
Amreli,1948,3,1,7747484
Valsad,942,5,1,6343321
Jamnagar,3957,1,3,19541320
Gandhidham,2209,4,3,11695507
Vapi,4192,1,1,22467208
Sidhpur,4416,5,1,20975238
Veraval,3391,2,1,14059864
Junagadh,2394,4,1,10711747
Gandhidham,988,1,2,4445375
Nadiad,404,4,2,2453013
Vadodara,3537,4,1,20819980
Navsari,1384,1,1,6096500
Morbi,2706,4,1,12515569
Surendranagar,613,5,3,3794843
Bharuch,4362,2,1,20804368
Patan,1096,4,1,5866519
Dwarka,3798,5,3,23551782
Mahuva,3530,1,3,16730162
Gandhidham,1794,2,2,8308657
Veraval,2301,1,4,12650598
Gondal,3624,3,2,19714008
Botad,3530,1,1,16589807
Palanpur,3608,2,3,15724151
Jamnagar,2244,3,1,10273963
Sidhpur,4424,3,2,18384438
Jamnagar,4172,1,2,21383839
Mahuva,965,4,4,5140476
Veraval,3702,4,3,23196250
Gondal,1201,3,4,5500744
Porbandar,1261,2,3,6461763
Gandhinagar,1695,5,2,15300961
Mehsana,2265,1,1,9513326
Nadiad,3834,3,3,20690111
Vadodara,1519,4,4,11506372
Nadiad,2174,3,4,11874448
Porbandar,454,3,1,1858146
Porbandar,3159,4,1,16860777
Bharuch,2122,2,2,9600290
Dahod,4162,3,4,19025460
Mahuva,3348,5,2,17648728
Patan,3823,2,1,15152824
Bharuch,1754,4,4,9508760
Palanpur,1083,2,2,4577020
Nadiad,3256,3,2,18576582
Mahuva,932,1,1,3998124
Amreli,2995,2,1,12083390
Veraval,611,2,2,2861558
Mahuva,3832,4,1,20333175
Godhra,3453,2,1,12825405
Surendranagar,972,1,2,4384713
Gandhinagar,3872,2,1,24130102
Bharuch,1714,3,2,7333017
Patan,4225,2,4,21055959
Jamnagar,762,5,1,4839098
Bhavnagar,528,1,2,2644846
Bhavnagar,3508,5,3,19094298
Dahod,3582,1,3,11482133
Patan,1330,3,1,5138298
Godhra,606,2,3,2492576
Patan,1990,3,4,9113443
Palanpur,1802,3,2,8125522
Vapi,2283,1,1,12583052
Navsari,3988,1,4,18927937
Surendranagar,3021,2,4,16591869
Palanpur,1217,2,4,5350449
Morbi,4174,1,3,16632770
Godhra,1539,2,1,6865171
Surat,2745,4,1,18646874
Patan,4285,2,3,20951283
Sidhpur,3233,3,1,12970165
Navsari,559,5,3,2848813
Gondal,858,5,4,5097860
Rajkot,747,4,1,4188093
Mehsana,1488,4,1,8369629
Ahmedabad,4435,3,1,30664966
Ahmedabad,2948,1,4,21350718
Mehsana,3859,4,4,26782163
Botad,1597,2,1,7685149
Vapi,3911,3,2,27306433
Rajkot,2957,4,4,17992531
Sidhpur,710,1,1,2867701
Gandhidham,2595,1,2,12366779
Mehsana,1217,4,4,7495195
Vapi,2991,5,1,21942218
Surat,4054,1,2,22226089
Navsari,1165,3,2,6748609
Rajkot,3982,5,4,27071787
Dahod,2468,5,1,11613293
Anand,2568,2,1,14091965
Gandhinagar,3797,3,4,27699498
Veraval,2682,2,3,13040191
Bharuch,3704,1,1,15030970
Junagadh,4348,4,1,19762020
Ahmedabad,1957,2,3,14658804
Porbandar,3269,5,2,17964342
Ahmedabad,1452,3,1,11512155
Junagadh,3103,2,2,15106108
Porbandar,787,5,1,4460270
Morbi,2348,5,1,13266657
Dahod,2933,4,2,12082863
Mehsana,3166,2,2,15350428
Anand,1192,1,1,6072539
Sidhpur,1229,3,4,5307988
Gandhidham,1860,2,2,10496836
Morbi,2131,5,4,12763664
Porbandar,945,5,1,5297144
Sidhpur,1707,3,4,7356364
Godhra,1531,3,1,6319103
Navsari,3181,5,3,18699932
Mehsana,1608,4,2,9212821
Bhavnagar,2519,1,3,10982416
Gandhidham,4204,3,4,22317127
Botad,1555,4,2,6807554
Nadiad,3304,3,2,19510975
Botad,1569,3,3,7876063
Gandhinagar,1866,5,1,15278335
Patan,2541,3,3,13037359
Jetpur,2632,3,3,11224594
Dwarka,4127,2,2,18947458
Bharuch,2361,5,1,11122021
Anand,4385,5,3,30510099
Nadiad,2523,1,4,11963182
Gandhidham,3155,1,2,16481324
Junagadh,2448,4,4,11808126
Valsad,3383,3,1,19286412
Godhra,3341,2,2,13997577
Amreli,857,4,3,4399137
Gandhinagar,1845,2,3,15300207
Nadiad,3538,1,3,16143717
Surat,4183,1,3,28722591
Mehsana,883,5,1,5214596
Jamnagar,1092,4,4,5889240
Bhavnagar,1638,1,3,6652779
Surendranagar,1969,1,4,7897715
Surendranagar,2654,2,1,13109434
Bhuj,439,4,4,2593529
Vadodara,4351,2,2,24791065
Navsari,4115,5,3,26885002
Surat,1224,1,2,6850343
Veraval,947,3,3,4867385
Gandhidham,602,1,3,3167045
Mahuva,3659,4,2,19932845
Gandhinagar,3805,5,2,28799470
Godhra,1022,5,2,5006066
Navsari,3495,1,1,14629412
Gondal,1413,1,1,5163785
Bharuch,3275,4,1,16263348
Bharuch,1239,1,3,5313640
Dwarka,2047,5,3,12974461
Palanpur,3813,5,4,20065072
Vapi,3184,2,1,19906649
Surat,4015,3,3,28767010
Navsari,1527,3,1,7526973
Botad,2462,2,4,11475018
Ahmedabad,1928,1,3,14008866
Valsad,3042,1,1,16283085
Porbandar,1093,4,4,5791532
Dwarka,4087,5,4,22723045
Palanpur,2523,1,2,10681925
Patan,2144,2,4,10023294
Sidhpur,3067,5,1,14237532
Dahod,655,2,4,2496090
Navsari,2744,5,2,15130193
Porbandar,1278,1,3,5959465
Jamnagar,701,4,2,4131402
Bhuj,3205,3,4,18276851
Sidhpur,1143,2,2,5323742
Navsari,1035,5,3,6969287
Morbi,1230,5,3,7417533
Morbi,2059,1,1,8323481
Gandhinagar,2749,3,4,25052934
Sidhpur,2629,1,1,10949675
Mahuva,4001,3,4,18089719
Surat,622,2,4,4540131
Valsad,3159,5,4,24534241
Bhavnagar,3249,3,4,17982591
Jetpur,4076,5,2,19245213
Bhavnagar,3457,1,3,13951484
Veraval,3411,3,2,19803784
Anand,3160,5,1,18466215
Bhuj,4285,5,1,20354267
Godhra,3980,5,2,16859142
Junagadh,2756,3,2,12277536
Veraval,2908,4,2,14051402
Ahmedabad,1989,3,1,13931078
Bhuj,2657,4,2,13900892
Morbi,2084,3,3,9558822
Porbandar,2064,2,4,8566974
Dwarka,4201,1,2,17535410
Junagadh,2305,1,1,9950539
Patan,890,2,1,4281108
Jamnagar,3965,2,2,18534821
Junagadh,2874,5,2,13970686
Gandhidham,3933,4,3,24487517
Botad,1114,1,1,5261608
Vadodara,3913,5,4,26067924
Vadodara,3869,1,2,25333437
Patan,2924,5,3,14427580
Gandhinagar,4278,2,3,32577042
Patan,768,2,3,3174414
Dahod,2252,4,3,10802608
Junagadh,4411,2,4,19488530
Jetpur,784,4,4,4080567
Vadodara,501,1,1,3194630
Gandhinagar,4284,3,3,34603370
Sidhpur,1977,5,1,9323349
Godhra,3288,2,4,12550834
Bharuch,2701,1,1,10165207
Palanpur,1803,5,3,9264517
Bhavnagar,4343,2,1,20499079
Mehsana,1909,3,1,11264667
Nadiad,1314,2,2,5796676
Godhra,1737,1,4,6616475
Surat,2700,5,2,19748989
Morbi,481,4,3,2485627
Godhra,3513,3,1,14536309
Dwarka,1838,2,3,8628127
Morbi,3877,2,3,19520433
Dahod,2189,5,3,10134866
Dwarka,2479,4,2,13218687
Vapi,3367,2,2,20010467
Amreli,4215,5,1,20688021
Morbi,3605,2,2,14227753
Jamnagar,4084,2,1,21661230
Nadiad,783,2,3,3981524
Rajkot,2688,4,2,15436088
Junagadh,2032,2,4,10680847
Gandhinagar,2097,1,4,14005017
Bhuj,2940,3,2,13892786
Palanpur,1059,4,2,5874801
Amreli,3798,1,1,13167026
Gandhidham,3144,2,1,13910365
Surat,2690,5,4,18397160
Palanpur,1473,3,2,6124793
Amreli,2762,4,4,14381283
Veraval,2734,5,3,14143853
Sidhpur,2872,2,2,12359787
Bharuch,2192,3,4,10150292
Palanpur,1546,2,4,7865445
Valsad,3294,4,2,20994181
Gondal,4279,1,1,17457377
Surat,395,3,3,3067877
Anand,1270,4,4,7836791
Vapi,3508,2,4,23757304
Bhuj,3192,2,2,14622931
Dahod,1338,2,1,4526843
Gandhidham,1386,2,4,6451749
Navsari,1600,3,3,9581069
Navsari,3501,2,2,16164784
Veraval,793,5,4,5218865
Junagadh,3485,5,2,17380830
Gondal,1992,2,4,9561186
Gandhidham,4454,4,3,25207857
Amreli,2710,3,3,12278154
Jamnagar,3679,3,2,16405918
Vapi,3104,2,2,18846580
Sidhpur,1316,2,3,6553120
Bharuch,2229,5,4,13338528
Dwarka,2148,5,3,13857190
Gondal,2951,4,3,16177240
Dahod,576,3,4,2262945
Porbandar,4066,4,1,17928688
Rajkot,4263,1,4,22168495
Surendranagar,1878,3,2,10267045
Bhuj,4172,1,3,19797525
Palanpur,2205,5,1,12395079
Bhuj,1121,4,3,5395773
Jetpur,1747,4,2,7724525
Navsari,398,4,2,1894069
Valsad,2300,1,2,12166383
Jetpur,1340,4,2,5938648
Mehsana,738,5,2,4185448
Jetpur,2523,3,3,14199063
Dahod,4285,1,1,15645612
Vapi,1142,4,3,6857871
Botad,2602,4,1,12580360
Bhuj,2252,2,3,9809622
Bhuj,4150,4,2,23902675
Surat,1547,5,4,13007154
Patan,1527,2,4,7754573
Amreli,2199,5,2,11131630
Gondal,3180,2,2,13204421
Mehsana,1545,1,4,8580620
Vapi,520,3,4,3117735
Amreli,965,1,1,3331498
Dahod,1445,2,2,4733468
Valsad,506,4,1,2768961
Patan,1661,3,4,9263384
Bharuch,3892,2,1,16577797
Dahod,936,5,3,4329436
Veraval,3652,3,2,17559522
Dahod,657,5,4,3233511
Porbandar,1906,2,4,9222802
Surat,3016,4,4,23002913
Navsari,4266,2,1,22317886
Anand,3252,5,1,20165382
Dwarka,2325,3,2,10652587
Dahod,660,1,4,2336426
Surat,3394,2,1,22854477
Navsari,3785,2,1,19892337
Gandhinagar,470,2,2,3385639
Jetpur,3552,1,2,14211527
Dwarka,3671,5,1,21867327
Bharuch,4103,4,2,21463197
Dahod,1646,1,3,6082863
Patan,1733,2,2,8157075
Veraval,2480,5,1,15659486
Dwarka,1574,5,3,10912652
Porbandar,560,3,3,2613525
Navsari,2872,1,4,13757684
Valsad,3876,5,4,26936814
Navsari,976,5,1,4796636
Bharuch,1183,4,1,6573595
Nadiad,3627,4,1,19678805
Palanpur,2778,1,1,12576193
Jetpur,1790,5,3,10938099
Mehsana,3386,3,3,17454575
Bharuch,3203,1,1,15380233
Bhuj,2407,2,3,13476616
Nadiad,1851,2,4,10440174
Nadiad,381,4,3,2360232
Patan,3482,3,4,18340779
Dwarka,2380,5,2,13778555
Nadiad,1315,2,2,5686626
Mahuva,2755,5,1,15046056
Vapi,3613,3,1,24110072
Gandhidham,3226,2,1,13664095
Nadiad,2868,3,4,16194664
Rajkot,2325,3,4,15384301
Godhra,2650,5,3,15158083
Ahmedabad,1728,5,4,16547757
Anand,771,3,1,3820386
Morbi,3329,4,2,14991188
Gandhidham,4197,5,3,25536710
Vadodara,570,1,3,3095416
Bhuj,1714,2,1,6787822
Bhuj,3417,5,1,19278641
Mehsana,2933,5,4,20189021
Sidhpur,1550,5,2,8500741
Mahuva,566,5,4,3057085
Amreli,1714,1,1,6927909
Vapi,4446,4,2,32545214
Porbandar,4112,4,2,20831308
Jetpur,2412,2,3,12726382
Bhuj,1966,5,3,11110759
Amreli,886,4,1,4533741
Bhuj,703,1,4,3214505
Dahod,1546,5,3,6254944
Gandhinagar,3362,4,1,24965773
Valsad,391,4,3,2708456
Botad,853,5,1,3961813
Vapi,1139,3,2,6687569
Mahuva,1111,4,1,5487328
Vadodara,1211,4,4,8651896
Porbandar,1782,2,2,8402492
Ahmedabad,4231,3,1,31892176
Gondal,2550,5,2,12898172
Navsari,1052,1,4,5017840
Gondal,3505,5,1,17318270
Dwarka,1783,5,4,11929847
Valsad,1529,2,4,9589310
Dahod,878,2,4,3640250
Sidhpur,4460,2,3,18896643
Surendranagar,629,1,4,2856923
Gandhinagar,1088,1,2,7813912
Botad,2955,5,3,16449928
Gandhidham,4335,4,4,23826378
Mehsana,2872,4,1,16739425
Junagadh,2588,3,4,13072585
Gandhinagar,3508,3,1,23215471
Palanpur,1394,1,1,4757110
Patan,2856,3,2,14083120
Nadiad,1209,1,1,4952060
Dahod,2430,2,2,9577683
Veraval,4025,5,1,24828060
Bhavnagar,3122,5,4,20973203
Jetpur,1339,2,1,6306276
Gandhidham,1451,3,4,7450846
Botad,4251,1,1,17999456
Gondal,1431,1,3,7331621
Bhuj,2327,1,4,11477990
Anand,4379,2,4,21459487
Navsari,2691,1,1,10918104
Anand,1932,4,4,13188580
Gandhidham,1422,5,1,7853428
Surendranagar,4207,1,4,21305916
Godhra,2333,2,4,10607706
Vadodara,3665,1,3,19733568
Junagadh,4366,1,1,16356609
Jamnagar,1310,2,3,7336535
Vadodara,3077,4,3,23583187
Ahmedabad,3869,2,1,22905673
Vadodara,1104,3,2,7930094
Dahod,3315,2,2,12155727
Palanpur,4301,3,3,23100123
Dwarka,4217,3,3,20044161
Dwarka,2099,5,1,12265568
Patan,595,1,2,2292599
Gandhinagar,2895,2,2,19072220
Surendranagar,4264,4,3,22980304
Ahmedabad,3871,5,1,32946608
Junagadh,1585,5,4,8123098
Sidhpur,2091,3,1,8882420
Valsad,3014,2,2,17762286
Gandhinagar,1535,4,3,11816505
Rajkot,3684,5,2,25798744
Gandhinagar,3135,1,3,21175376
Palanpur,3319,3,3,17958971
Mahuva,3448,1,3,15547367
Junagadh,2611,4,2,13439650
Jamnagar,2563,1,4,10767129
Mahuva,3080,2,1,13048992
Junagadh,4086,3,3,21535337
Ahmedabad,2508,4,4,18763624
Botad,2372,1,4,9744692
Valsad,3168,5,4,19956802
Mehsana,425,4,4,2911932
Sidhpur,1678,3,3,8684310
Jamnagar,1860,1,1,8818408
Anand,895,1,1,3592266
Vapi,428,2,1,2822168
Junagadh,2806,4,4,16900735
Gandhinagar,694,5,3,5779315
Dahod,1976,1,4,7512227
Junagadh,4320,3,3,23183802
Dahod,2326,2,3,9890850
Sidhpur,400,3,4,2060672
Surendranagar,710,3,4,3336284
Gandhidham,1125,3,1,5521704
Porbandar,2651,3,1,11866702
Surat,1506,3,2,10282591
Porbandar,3500,4,3,15645577
Bhuj,2700,3,4,12455719
Navsari,3482,4,3,17899698
Gondal,538,4,2,2502009
Gondal,2216,3,1,11570375
Gondal,595,1,4,2819677
Navsari,3030,2,2,16661733
Bharuch,811,2,2,4159688
Vadodara,3678,1,2,19210781
Rajkot,1711,5,3,9795096
Patan,3446,4,4,18998036
Morbi,3332,1,3,13131541
Valsad,4127,2,3,20614989
Navsari,4485,5,2,25830273
Rajkot,369,4,1,2148041
Morbi,4428,1,2,20749291
Morbi,1824,5,4,9951805
Gandhinagar,3397,2,3,27989412
Mehsana,1481,2,1,8343862
Surendranagar,1179,2,3,4736212
Patan,2621,1,3,10380443
Dwarka,1676,4,2,8710920
Vapi,539,2,2,2859017
Dahod,605,3,2,2505033
Dahod,3165,4,2,15459845
Valsad,2718,3,1,13499651
Jamnagar,433,5,4,2782693
Ahmedabad,1432,2,4,10584100
Botad,2856,3,4,12611711
Botad,1022,5,2,5734994
Dahod,879,2,4,3588327
Rajkot,4280,2,4,27284701
Jetpur,2992,1,1,10766191
Bharuch,3114,2,1,13036369
Nadiad,2217,1,1,10018659
Dwarka,1213,3,3,7293823
Mahuva,2313,2,1,9316422
Veraval,2420,5,1,12412655
Palanpur,1715,2,4,7949122
Patan,3159,3,2,14782538
Valsad,4326,5,3,32762692
Mahuva,1532,2,3,6953450
Bhuj,1594,4,2,8238085
Gondal,3196,4,3,16539966
Ahmedabad,4275,1,4,28551291
Valsad,3998,1,2,23316270
Sidhpur,3356,3,3,15673316
Valsad,3416,3,4,22838557
Bhavnagar,994,2,4,4982725
Surendranagar,1635,3,3,8925064
Junagadh,1306,5,1,7179763
Palanpur,1581,4,3,7672971
Morbi,452,5,3,2458388
Anand,4073,2,4,22701890
Surendranagar,761,2,4,3627318
Jamnagar,1637,1,2,6794089
Porbandar,1028,4,3,4697451
Rajkot,2122,2,1,11808010
Vadodara,3026,5,3,20752167
Amreli,4279,1,3,16731664
Bhavnagar,3250,1,1,13548051
Jamnagar,662,5,4,4137545
Mahuva,3095,5,3,18644717
Dwarka,1072,2,2,5337235
Ahmedabad,1592,1,2,11052064
Jetpur,1023,1,3,4006592
Jamnagar,3051,3,2,17027335
Botad,1786,5,2,8854472
Navsari,3852,4,2,20275399
Surat,3883,1,1,24774289
Ahmedabad,803,2,3,5614398
Jamnagar,492,4,4,2524648
Junagadh,1992,4,4,11314925
Morbi,2261,4,1,10394331
Gondal,1243,4,3,7522399
Amreli,1471,3,3,7223771
Bhavnagar,902,4,3,5079952
Surat,3602,1,1,18755362
Palanpur,3652,4,1,16105836
Morbi,3181,5,4,18494417
Anand,2117,1,3,11491996
Ahmedabad,4326,2,2,26386366
Jamnagar,3139,3,3,14784906
Bhuj,2562,3,2,13414055
Gondal,3568,1,3,15184645
Amreli,2734,1,3,11269820
Botad,1919,5,4,10913425
Dwarka,4360,5,3,25407782
Gandhinagar,3163,5,4,28829854
Gandhinagar,869,2,1,6084988
Nadiad,3263,5,2,21640634
Valsad,1700,3,3,10186600
Palanpur,3767,2,1,16235874
Dwarka,4016,1,1,16307395
Surat,3549,4,3,26787693
Patan,2427,1,4,9194532
Valsad,1623,5,3,9771021
Gandhinagar,3034,3,3,26429782
Bhavnagar,3819,5,1,19288904
Sidhpur,4196,2,1,18217541
Vadodara,2193,1,2,12300450
Mahuva,3817,4,3,21472200
Amreli,676,1,3,2720640
Surat,838,5,4,6425157
Dwarka,1372,2,3,7884256
Valsad,2648,4,3,15942289
Gandhidham,3951,5,1,23344340
Jamnagar,3906,3,4,18310842
Veraval,4358,5,2,28742525
Ahmedabad,2989,5,4,28799690
Godhra,3660,1,2,12692292
Jamnagar,1254,4,2,6296779
Bhavnagar,3469,5,1,16362402
Rajkot,2483,4,4,16613467
Junagadh,1852,4,2,7958153
Ahmedabad,3442,4,4,26520106
Anand,3194,1,1,13167532
Navsari,856,3,1,3948775
Bharuch,2583,3,3,11495653
Gandhinagar,4068,5,2,38987164
Surat,3548,5,3,26292484
Bhavnagar,3385,3,4,20524060
Palanpur,2983,4,3,13987858
Palanpur,3995,1,3,18953136
Jetpur,2299,5,2,12663024
Dwarka,2111,4,3,12341189
Valsad,2573,5,2,14814362
Navsari,450,4,3,2799081
Mahuva,381,3,4,2148236
Mehsana,901,3,1,5576075
Navsari,903,2,1,3950790
Dahod,1485,2,4,6794376
Mehsana,4479,2,4,24761147
Dwarka,3637,4,2,18977189
Sidhpur,3258,2,2,15516131
Morbi,1201,4,4,7171972
Nadiad,1214,1,3,6213502
Bharuch,2169,5,4,12371914
Morbi,1150,3,1,4633178
Surat,2503,3,3,18658217
Bharuch,1302,5,3,6774692
Godhra,3207,3,1,15321407
Patan,2643,5,3,12054074
Botad,3521,3,1,18247512
Patan,3817,1,1,14889448
Dwarka,534,1,2,2835121
Amreli,651,3,2,3036500
Navsari,2358,2,3,11337232
Anand,2493,1,1,12449004
Vadodara,3024,3,4,19479228
Mehsana,4182,3,1,20700415
Rajkot,4215,3,3,24128690
Bharuch,3345,1,2,16423988
Nadiad,592,5,2,3628401
Patan,2049,1,3,9370428
Vapi,2811,2,3,15793701
Ahmedabad,4376,4,4,33151248
Bhavnagar,1792,5,3,9491334
Sidhpur,810,5,4,4447354
Veraval,1866,2,4,8667135
